ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
T-1263,High,Open,Software,Email Not Working,Automatically generated ticket #264,2024-09-07,2024-09-13,Admin
T-1264,High,In Progress,Email,Software Installation Request,Automatically generated ticket #265,2023-01-28,2023-01-29,Sara
T-1265,Medium,Open,Software,Printer Not Responding,Automatically generated ticket #266,2023-06-27,2023-07-06,David
T-1266,Medium,Open,Network,Software Installation Request,Automatically generated ticket #267,2024-02-27,2024-03-17,Sara
T-1267,High,Open,Hardware,Email Not Working,Automatically generated ticket #268,2023-12-16,2024-01-03,SecurityTeam
T-1268,Low,Resolved,Network,Unauthorized Login Attempt,Automatically generated ticket #269,2024-05-02,2024-05-06,Anna
T-1269,Medium,Resolved,Network,Unauthorized Login Attempt,Automatically generated ticket #270,2024-09-12,2024-09-26,David
T-1270,High,Open,Hardware,Password Reset,Automatically generated ticket #271,2024-06-28,2024-06-30,Michael
T-1271,Low,Resolved,Software,Software Installation Request,Automatically generated ticket #272,2024-10-18,2024-10-19,David
T-1272,Critical,Open,Software,Password Reset,Automatically generated ticket #273,2024-02-17,,Admin
T-1273,Low,Open,Security,Email Not Working,Automatically generated ticket #274,2024-09-24,2024-10-03,David
T-1274,Critical,Resolved,Email,Slow Internet,Automatically generated ticket #275,2024-05-12,,Admin
T-1275,Low,Resolved,Software,Password Reset,Automatically generated ticket #276,2024-06-10,2024-06-18,Anna
T-1276,Critical,In Progress,Software,System Crash,Automatically generated ticket #277,2023-11-06,2023-11-09,David
T-1277,Low,On Hold,Email,Account Locked,Automatically generated ticket #278,2023-01-27,2023-01-31,Michael
T-1278,High,In Progress,Hardware,Password Reset,Automatically generated ticket #279,2024-11-12,2024-11-30,Sara
T-1279,Medium,Resolved,Software,Account Locked,Automatically generated ticket #280,2023-01-21,2023-02-01,Michael
T-1280,Medium,In Progress,Network,Printer Not Responding,Automatically generated ticket #281,2024-04-14,,Michael
T-1281,High,On Hold,Email,Malware Detected,Automatically generated ticket #282,2023-03-22,,Anna
T-1282,Low,In Progress,Security,Email Not Working,Automatically generated ticket #283,2024-09-20,2024-09-21,ITSupport
T-1283,Low,Resolved,Network,Printer Not Responding,Automatically generated ticket #284,2023-05-20,2023-05-29,Sara
T-1284,Low,Resolved,Network,Software Installation Request,Automatically generated ticket #285,2023-12-21,,Sara
T-1285,Low,In Progress,Network,Unauthorized Login Attempt,Automatically generated ticket #286,2023-06-17,,David
T-1286,High,In Progress,Email,Unauthorized Login Attempt,Automatically generated ticket #287,2024-06-17,2024-07-07,Admin
T-1287,Critical,Resolved,Security,Printer Not Responding,Automatically generated ticket #288,2023-05-20,2023-05-30,SecurityTeam
T-1288,High,In Progress,Hardware,System Crash,Automatically generated ticket #289,2024-09-01,2024-09-07,SecurityTeam
T-1289,Medium,Resolved,Network,VPN Issue,Automatically generated ticket #290,2023-03-09,,ITSupport
T-1290,Medium,Open,Access Request,Password Reset,Automatically generated ticket #291,2023-10-21,,Sara
T-1291,Critical,On Hold,Email,Slow Internet,Automatically generated ticket #292,2023-11-08,,Michael
T-1292,High,On Hold,Software,VPN Issue,Automatically generated ticket #293,2024-10-20,2024-11-07,Sara
T-1293,Medium,On Hold,Security,Password Reset,Automatically generated ticket #294,2024-10-24,2024-11-04,Admin
T-1294,Critical,Open,Software,System Crash,Automatically generated ticket #295,2024-01-09,,ITSupport
T-1295,Low,Open,Network,Password Reset,Automatically generated ticket #296,2023-05-31,,Admin
T-1296,Critical,In Progress,Network,Password Reset,Automatically generated ticket #297,2024-03-28,,Anna
T-1297,Critical,In Progress,Network,Password Reset,Automatically generated ticket #298,2023-07-04,2023-07-24,Anna
T-1298,Medium,On Hold,Security,Password Reset,Automatically generated ticket #299,2023-06-22,2023-06-30,Anna
T-1299,High,On Hold,Security,Malware Detected,Automatically generated ticket #300,2023-12-02,,Michael
T-1300,High,Open,Security,Password Reset,Automatically generated ticket #301,2024-07-13,2024-07-28,ITSupport
T-1301,Low,On Hold,Hardware,Printer Not Responding,Automatically generated ticket #302,2023-08-25,2023-08-28,Anna
T-1302,Low,In Progress,Email,Password Reset,Automatically generated ticket #303,2024-03-25,2024-04-14,Michael
T-1303,Medium,Open,Hardware,Printer Not Responding,Automatically generated ticket #304,2023-05-14,2023-05-15,ITSupport
T-1304,Medium,In Progress,Security,Account Locked,Automatically generated ticket #305,2024-09-23,2024-09-27,Sara
T-1305,Low,On Hold,Access Request,System Crash,Automatically generated ticket #306,2024-11-17,,Admin
T-1306,Medium,On Hold,Security,Account Locked,Automatically generated ticket #307,2023-05-08,2023-05-16,SecurityTeam
T-1307,High,In Progress,Access Request,Slow Internet,Automatically generated ticket #308,2023-09-16,2023-09-26,Sara
T-1308,Low,Open,Hardware,System Crash,Automatically generated ticket #309,2023-08-16,2023-08-25,Anna
T-1309,Medium,Resolved,Security,System Crash,Automatically generated ticket #310,2023-05-23,2023-06-09,Sara
T-1310,Critical,Resolved,Hardware,Printer Not Responding,Automatically generated ticket #311,2024-11-26,2024-12-10,ITSupport
T-1311,Low,Resolved,Hardware,Unauthorized Login Attempt,Automatically generated ticket #312,2023-12-27,,Sara
T-1312,High,Open,Hardware,Slow Internet,Automatically generated ticket #313,2024-07-21,2024-08-10,SecurityTeam
T-1313,High,Open,Access Request,System Crash,Automatically generated ticket #314,2023-03-01,,SecurityTeam
T-1314,Medium,Resolved,Software,Slow Internet,Automatically generated ticket #315,2023-08-08,2023-08-13,Anna
T-1315,Medium,On Hold,Security,Unauthorized Login Attempt,Automatically generated ticket #316,2023-05-09,2023-05-20,David
T-1316,Medium,In Progress,Access Request,Account Locked,Automatically generated ticket #317,2023-05-02,,Michael
T-1317,Medium,Resolved,Hardware,Software Installation Request,Automatically generated ticket #318,2024-02-21,2024-03-03,David
T-1318,High,In Progress,Email,Unauthorized Login Attempt,Automatically generated ticket #319,2024-09-28,2024-10-09,Anna
T-1319,Low,In Progress,Email,VPN Issue,Automatically generated ticket #320,2023-05-21,,David
T-1320,Medium,In Progress,Security,VPN Issue,Automatically generated ticket #321,2024-08-28,,Michael
T-1321,High,In Progress,Security,System Crash,Automatically generated ticket #322,2023-10-01,2023-10-07,SecurityTeam
T-1322,Critical,Resolved,Network,Email Not Working,Automatically generated ticket #323,2024-01-09,,Sara
T-1323,Medium,Open,Email,Malware Detected,Automatically generated ticket #324,2023-10-07,2023-10-11,Anna
T-1324,Critical,In Progress,Hardware,VPN Issue,Automatically generated ticket #325,2024-04-13,2024-04-30,ITSupport
T-1325,High,Open,Hardware,Unauthorized Login Attempt,Automatically generated ticket #326,2023-03-22,2023-03-23,David
T-1326,Low,Resolved,Security,VPN Issue,Automatically generated ticket #327,2023-07-30,2023-08-06,Sara
T-1327,Low,Resolved,Network,Account Locked,Automatically generated ticket #328,2023-06-19,,David
T-1328,Medium,Resolved,Hardware,Printer Not Responding,Automatically generated ticket #329,2024-01-15,2024-01-24,Sara
T-1329,High,On Hold,Access Request,System Crash,Automatically generated ticket #330,2023-06-21,2023-07-04,ITSupport
T-1330,Critical,Open,Network,Software Installation Request,Automatically generated ticket #331,2024-09-05,2024-09-12,Sara
T-1331,Critical,On Hold,Security,VPN Issue,Automatically generated ticket #332,2024-07-03,2024-07-17,ITSupport
T-1332,Medium,In Progress,Security,System Crash,Automatically generated ticket #333,2023-08-09,2023-08-25,David
T-1333,Medium,Open,Access Request,Malware Detected,Automatically generated ticket #334,2024-03-28,2024-03-30,David
T-1334,Critical,On Hold,Software,Account Locked,Automatically generated ticket #335,2023-08-06,2023-08-22,Sara
T-1335,High,Resolved,Email,Password Reset,Automatically generated ticket #336,2023-12-15,2023-12-27,SecurityTeam
T-1336,Medium,On Hold,Hardware,Email Not Working,Automatically generated ticket #337,2023-03-30,2023-04-10,Admin
T-1337,High,Open,Email,VPN Issue,Automatically generated ticket #338,2023-03-08,,Anna
T-1338,Low,Open,Hardware,Malware Detected,Automatically generated ticket #339,2024-08-05,2024-08-15,Admin
T-1339,High,On Hold,Software,Unauthorized Login Attempt,Automatically generated ticket #340,2024-08-06,2024-08-08,ITSupport
T-1340,High,In Progress,Access Request,Slow Internet,Automatically generated ticket #341,2024-01-07,2024-01-12,David
T-1341,Medium,In Progress,Email,Unauthorized Login Attempt,Automatically generated ticket #342,2024-09-01,2024-09-02,Sara
T-1342,Medium,Open,Hardware,Printer Not Responding,Automatically generated ticket #343,2024-11-05,,Sara
T-1343,High,Open,Software,Account Locked,Automatically generated ticket #344,2023-01-09,,Anna
T-1344,High,In Progress,Network,Account Locked,Automatically generated ticket #345,2024-04-16,2024-04-30,Michael
T-1345,Medium,Resolved,Network,Password Reset,Automatically generated ticket #346,2023-03-31,2023-04-09,Sara
T-1346,Critical,Resolved,Software,Software Installation Request,Automatically generated ticket #347,2023-02-15,,Admin
T-1347,High,Open,Security,Password Reset,Automatically generated ticket #348,2024-05-15,2024-05-26,ITSupport
T-1348,Low,On Hold,Hardware,Printer Not Responding,Automatically generated ticket #349,2024-10-26,,SecurityTeam
T-1349,Critical,In Progress,Email,VPN Issue,Automatically generated ticket #350,2023-04-16,,SecurityTeam
T-1350,High,In Progress,Hardware,Unauthorized Login Attempt,Automatically generated ticket #351,2024-01-14,2024-02-03,Admin
T-1351,Critical,On Hold,Network,Email Not Working,Automatically generated ticket #352,2024-07-30,,ITSupport
T-1352,Low,Open,Email,Malware Detected,Automatically generated ticket #353,2024-02-06,,Michael
T-1353,Medium,On Hold,Email,Malware Detected,Automatically generated ticket #354,2024-08-28,2024-09-13,David
T-1354,Critical,Resolved,Access Request,Malware Detected,Automatically generated ticket #355,2024-02-16,2024-02-17,Admin
T-1355,Medium,Resolved,Software,System Crash,Automatically generated ticket #356,2024-01-29,2024-02-15,SecurityTeam
T-1356,Critical,On Hold,Access Request,Email Not Working,Automatically generated ticket #357,2024-03-04,,Michael
T-1357,Medium,In Progress,Access Request,Slow Internet,Automatically generated ticket #358,2024-11-13,2024-11-30,Michael
T-1358,Low,On Hold,Hardware,Slow Internet,Automatically generated ticket #359,2024-06-02,,Admin
T-1359,High,In Progress,Email,System Crash,Automatically generated ticket #360,2023-05-26,2023-06-15,David
T-1360,Low,Open,Email,Slow Internet,Automatically generated ticket #361,2024-08-21,2024-09-08,Sara
T-1361,Low,In Progress,Access Request,Slow Internet,Automatically generated ticket #362,2024-02-24,2024-03-04,Anna
T-1362,Low,Resolved,Software,Slow Internet,Automatically generated ticket #363,2023-10-28,,Sara
T-1363,High,Resolved,Email,Malware Detected,Automatically generated ticket #364,2023-08-10,,Anna
T-1364,High,Resolved,Email,Password Reset,Automatically generated ticket #365,2023-10-22,2023-10-31,ITSupport
T-1365,High,Resolved,Email,Password Reset,Automatically generated ticket #366,2023-03-04,,David
T-1366,Critical,Open,Network,Malware Detected,Automatically generated ticket #367,2023-06-06,2023-06-19,David
T-1367,Low,Resolved,Email,Password Reset,Automatically generated ticket #368,2024-03-22,2024-03-26,Admin
T-1368,Medium,Resolved,Email,Email Not Working,Automatically generated ticket #369,2024-06-17,2024-07-05,Sara
T-1369,Critical,In Progress,Access Request,Slow Internet,Automatically generated ticket #370,2024-10-18,2024-11-07,Michael
T-1370,High,Resolved,Hardware,Malware Detected,Automatically generated ticket #371,2024-07-04,2024-07-09,Admin
T-1371,Low,In Progress,Hardware,System Crash,Automatically generated ticket #372,2024-07-01,2024-07-02,Sara
T-1372,Low,Open,Hardware,Account Locked,Automatically generated ticket #373,2023-12-07,2023-12-14,Anna
T-1373,Medium,In Progress,Hardware,Email Not Working,Automatically generated ticket #374,2024-06-30,2024-07-19,Michael
T-1374,Low,On Hold,Network,VPN Issue,Automatically generated ticket #375,2023-07-11,2023-07-20,Admin
T-1375,Medium,In Progress,Network,Software Installation Request,Automatically generated ticket #376,2024-06-07,,ITSupport
T-1376,Critical,On Hold,Security,Software Installation Request,Automatically generated ticket #377,2024-01-12,2024-01-22,ITSupport
T-1377,Low,On Hold,Access Request,Software Installation Request,Automatically generated ticket #378,2024-11-02,2024-11-04,Admin
T-1378,Critical,Open,Email,Slow Internet,Automatically generated ticket #379,2023-10-19,2023-10-25,Anna
T-1379,Medium,In Progress,Access Request,Email Not Working,Automatically generated ticket #380,2023-03-19,,Sara
T-1380,Medium,On Hold,Security,VPN Issue,Automatically generated ticket #381,2024-06-24,2024-06-30,Anna
T-1381,Low,On Hold,Access Request,VPN Issue,Automatically generated ticket #382,2024-03-20,2024-04-04,Anna
T-1382,High,In Progress,Security,Malware Detected,Automatically generated ticket #383,2023-06-03,,Sara
T-1383,Low,In Progress,Access Request,Email Not Working,Automatically generated ticket #384,2024-04-03,2024-04-09,ITSupport
T-1384,Low,In Progress,Network,Unauthorized Login Attempt,Automatically generated ticket #385,2024-08-20,,ITSupport
T-1385,Critical,On Hold,Email,Slow Internet,Automatically generated ticket #386,2023-08-28,2023-09-05,Sara
T-1386,Critical,On Hold,Network,Printer Not Responding,Automatically generated ticket #387,2024-04-01,,Admin
T-1387,High,Open,Hardware,Account Locked,Automatically generated ticket #388,2024-07-03,2024-07-11,Michael
T-1388,Medium,On Hold,Software,Slow Internet,Automatically generated ticket #389,2023-01-01,2023-01-10,Sara
T-1389,High,Resolved,Hardware,Slow Internet,Automatically generated ticket #390,2023-07-06,,Michael
T-1390,Critical,Open,Access Request,Slow Internet,Automatically generated ticket #391,2023-10-12,2023-10-18,Michael
T-1391,Medium,On Hold,Email,VPN Issue,Automatically generated ticket #392,2023-09-10,,Michael
T-1392,Medium,In Progress,Network,Email Not Working,Automatically generated ticket #393,2024-06-27,2024-07-06,Sara
T-1393,Medium,On Hold,Software,Account Locked,Automatically generated ticket #394,2023-03-25,2023-04-03,SecurityTeam
T-1394,Medium,Open,Software,Password Reset,Automatically generated ticket #395,2023-08-02,2023-08-04,Michael
T-1395,Low,On Hold,Software,Password Reset,Automatically generated ticket #396,2024-05-24,,ITSupport
T-1396,Medium,On Hold,Hardware,VPN Issue,Automatically generated ticket #397,2023-03-10,2023-03-24,David
T-1397,Medium,Resolved,Security,System Crash,Automatically generated ticket #398,2023-08-31,2023-09-15,Anna
T-1398,Critical,Open,Email,Email Not Working,Automatically generated ticket #399,2023-01-15,,Sara
T-1399,Critical,Resolved,Network,Malware Detected,Automatically generated ticket #400,2023-12-05,,SecurityTeam
T-1400,Low,Resolved,Email,Password Reset,Automatically generated ticket #401,2024-09-29,2024-10-17,Anna
T-1401,Low,Open,Software,Email Not Working,Automatically generated ticket #402,2023-12-20,2023-12-22,Michael
T-1402,Low,In Progress,Hardware,Slow Internet,Automatically generated ticket #403,2024-09-29,,Michael
T-1403,Critical,In Progress,Email,VPN Issue,Automatically generated ticket #404,2024-09-18,,SecurityTeam
T-1404,Critical,Open,Network,Unauthorized Login Attempt,Automatically generated ticket #405,2023-08-05,2023-08-19,SecurityTeam
T-1405,Low,On Hold,Network,Slow Internet,Automatically generated ticket #406,2024-08-09,2024-08-19,Sara
T-1406,High,Resolved,Hardware,Printer Not Responding,Automatically generated ticket #407,2023-04-15,,Admin
T-1407,High,In Progress,Hardware,Unauthorized Login Attempt,Automatically generated ticket #408,2023-07-04,,David
T-1408,Low,Open,Security,Account Locked,Automatically generated ticket #409,2024-08-10,2024-08-24,Michael
T-1409,Critical,In Progress,Hardware,Slow Internet,Automatically generated ticket #410,2024-02-22,,Anna
T-1410,Low,Resolved,Email,Software Installation Request,Automatically generated ticket #411,2024-02-19,2024-02-28,Sara
T-1411,Low,Resolved,Email,Email Not Working,Automatically generated ticket #412,2024-08-14,2024-08-19,David
T-1412,Critical,On Hold,Security,Unauthorized Login Attempt,Automatically generated ticket #413,2023-03-28,2023-04-17,ITSupport
T-1413,Medium,Open,Access Request,Password Reset,Automatically generated ticket #414,2024-07-26,2024-08-15,Anna
T-1414,Critical,In Progress,Security,VPN Issue,Automatically generated ticket #415,2023-04-14,2023-05-02,David
T-1415,Critical,Open,Access Request,Unauthorized Login Attempt,Automatically generated ticket #416,2023-05-29,2023-06-02,Admin
T-1416,Low,Resolved,Security,Unauthorized Login Attempt,Automatically generated ticket #417,2024-08-07,2024-08-22,SecurityTeam
T-1417,Critical,Open,Access Request,Printer Not Responding,Automatically generated ticket #418,2023-06-01,,David
T-1418,Critical,Open,Hardware,Unauthorized Login Attempt,Automatically generated ticket #419,2023-07-30,2023-08-18,ITSupport
T-1419,Medium,Resolved,Hardware,Account Locked,Automatically generated ticket #420,2023-04-11,2023-04-20,ITSupport
T-1420,Low,In Progress,Network,Printer Not Responding,Automatically generated ticket #421,2024-07-05,2024-07-07,Sara
T-1421,Critical,Open,Software,Account Locked,Automatically generated ticket #422,2024-03-22,2024-03-25,ITSupport
T-1422,Low,Resolved,Email,Email Not Working,Automatically generated ticket #423,2024-03-10,2024-03-23,SecurityTeam
T-1423,High,Resolved,Security,Slow Internet,Automatically generated ticket #424,2023-06-19,2023-07-03,Sara
T-1424,Critical,Open,Email,Malware Detected,Automatically generated ticket #425,2023-07-13,2023-07-26,Anna
T-1425,Low,On Hold,Hardware,Software Installation Request,Automatically generated ticket #426,2024-03-21,,David
T-1426,Critical,Open,Email,Printer Not Responding,Automatically generated ticket #427,2024-02-18,2024-03-02,ITSupport
T-1427,Low,Resolved,Security,VPN Issue,Automatically generated ticket #428,2023-10-23,2023-10-28,ITSupport
T-1428,High,In Progress,Security,System Crash,Automatically generated ticket #429,2023-08-05,2023-08-22,Michael
T-1429,Low,Resolved,Software,Unauthorized Login Attempt,Automatically generated ticket #430,2023-02-27,,Sara
T-1430,Critical,Resolved,Hardware,Unauthorized Login Attempt,Automatically generated ticket #431,2023-04-30,2023-05-08,SecurityTeam
T-1431,Critical,Open,Network,Malware Detected,Automatically generated ticket #432,2023-06-13,2023-06-30,SecurityTeam
T-1432,Low,In Progress,Software,VPN Issue,Automatically generated ticket #433,2024-07-26,2024-08-02,SecurityTeam
T-1433,High,Open,Email,Software Installation Request,Automatically generated ticket #434,2024-08-10,,ITSupport
T-1434,Critical,On Hold,Network,Password Reset,Automatically generated ticket #435,2023-01-15,2023-01-25,Sara
T-1435,Medium,Open,Access Request,Malware Detected,Automatically generated ticket #436,2024-08-14,,Admin
T-1436,High,In Progress,Software,Printer Not Responding,Automatically generated ticket #437,2023-08-28,2023-09-05,SecurityTeam
T-1437,Low,Resolved,Network,Printer Not Responding,Automatically generated ticket #438,2023-05-06,2023-05-12,Michael
T-1438,Critical,On Hold,Access Request,Password Reset,Automatically generated ticket #439,2023-02-15,2023-02-17,David
T-1439,Medium,Resolved,Software,VPN Issue,Automatically generated ticket #440,2023-06-07,2023-06-13,ITSupport
T-1440,High,Resolved,Software,System Crash,Automatically generated ticket #441,2023-10-11,2023-10-29,Anna
T-1441,Low,In Progress,Hardware,Slow Internet,Automatically generated ticket #442,2024-11-28,,Michael
T-1442,Critical,In Progress,Access Request,Account Locked,Automatically generated ticket #443,2024-08-14,2024-08-28,Admin
T-1443,Medium,Open,Hardware,VPN Issue,Automatically generated ticket #444,2023-10-25,,Admin
T-1444,Low,In Progress,Access Request,System Crash,Automatically generated ticket #445,2024-07-12,,SecurityTeam
T-1445,High,Open,Security,Malware Detected,Automatically generated ticket #446,2024-03-18,,Admin
T-1446,High,In Progress,Email,Account Locked,Automatically generated ticket #447,2024-03-07,2024-03-23,Sara
T-1447,High,Resolved,Software,Malware Detected,Automatically generated ticket #448,2024-02-25,2024-03-12,SecurityTeam
T-1448,Critical,On Hold,Software,Software Installation Request,Automatically generated ticket #449,2024-04-29,2024-05-02,ITSupport
T-1449,Critical,Open,Security,VPN Issue,Automatically generated ticket #450,2024-08-31,,Michael
T-1450,Critical,Open,Email,Email Not Working,Automatically generated ticket #451,2024-03-02,2024-03-04,Admin
T-1451,Medium,In Progress,Security,Software Installation Request,Automatically generated ticket #452,2023-12-18,2023-12-28,Sara
T-1452,High,In Progress,Software,Unauthorized Login Attempt,Automatically generated ticket #453,2023-09-09,2023-09-17,Admin
T-1453,Critical,In Progress,Software,Software Installation Request,Automatically generated ticket #454,2024-09-24,2024-10-02,Anna
T-1454,High,Resolved,Security,Malware Detected,Automatically generated ticket #455,2023-01-22,,ITSupport
T-1455,Critical,In Progress,Security,System Crash,Automatically generated ticket #456,2024-04-21,2024-05-10,Admin
T-1456,Low,Open,Network,VPN Issue,Automatically generated ticket #457,2023-07-02,2023-07-20,ITSupport
T-1457,Low,Open,Hardware,Email Not Working,Automatically generated ticket #458,2024-05-12,,Admin
T-1458,Critical,On Hold,Hardware,System Crash,Automatically generated ticket #459,2024-08-25,2024-09-03,SecurityTeam
T-1459,Critical,Open,Software,Email Not Working,Automatically generated ticket #460,2024-11-24,2024-11-29,Anna
T-1460,High,On Hold,Network,VPN Issue,Automatically generated ticket #461,2024-10-17,2024-10-25,Sara
T-1461,Low,On Hold,Security,System Crash,Automatically generated ticket #462,2024-06-03,2024-06-11,Anna
T-1462,High,In Progress,Access Request,Account Locked,Automatically generated ticket #463,2024-11-23,,David
T-1463,Medium,Open,Email,Malware Detected,Automatically generated ticket #464,2024-02-09,2024-02-29,Admin
T-1464,Medium,In Progress,Email,Printer Not Responding,Automatically generated ticket #465,2023-04-19,2023-04-30,Anna
T-1465,High,Open,Security,Printer Not Responding,Automatically generated ticket #466,2024-09-12,2024-09-22,ITSupport
T-1466,Low,On Hold,Network,Email Not Working,Automatically generated ticket #467,2024-07-25,,David
T-1467,Low,In Progress,Software,Account Locked,Automatically generated ticket #468,2024-02-05,,ITSupport
T-1468,High,Open,Email,Malware Detected,Automatically generated ticket #469,2024-07-07,2024-07-27,Michael
T-1469,Critical,Resolved,Security,System Crash,Automatically generated ticket #470,2024-04-03,2024-04-20,Admin
T-1470,Critical,On Hold,Software,Email Not Working,Automatically generated ticket #471,2023-10-27,,Sara
T-1471,Critical,In Progress,Network,Email Not Working,Automatically generated ticket #472,2023-08-07,2023-08-17,SecurityTeam
T-1472,Low,In Progress,Access Request,Slow Internet,Automatically generated ticket #473,2023-12-07,2023-12-10,ITSupport
T-1473,Low,In Progress,Email,Malware Detected,Automatically generated ticket #474,2024-04-11,2024-04-12,Anna
T-1474,Medium,Resolved,Network,Printer Not Responding,Automatically generated ticket #475,2023-08-02,2023-08-17,Michael
T-1475,Medium,In Progress,Network,VPN Issue,Automatically generated ticket #476,2024-08-17,,Michael
T-1476,High,On Hold,Access Request,Printer Not Responding,Automatically generated ticket #477,2024-10-07,2024-10-26,Michael
T-1477,Medium,Resolved,Network,Software Installation Request,Automatically generated ticket #478,2024-04-11,,Michael
T-1478,Medium,In Progress,Hardware,Malware Detected,Automatically generated ticket #479,2023-09-23,2023-10-11,Anna
T-1479,Low,In Progress,Email,System Crash,Automatically generated ticket #480,2024-07-17,2024-08-04,Michael
T-1480,High,On Hold,Hardware,Slow Internet,Automatically generated ticket #481,2023-03-17,2023-04-05,Anna
T-1481,High,Open,Email,Software Installation Request,Automatically generated ticket #482,2023-02-09,2023-02-25,Michael
T-1482,High,Open,Security,Printer Not Responding,Automatically generated ticket #483,2023-08-11,2023-08-12,SecurityTeam
T-1483,Critical,Resolved,Software,Printer Not Responding,Automatically generated ticket #484,2023-06-07,,Admin
T-1484,High,Open,Software,Printer Not Responding,Automatically generated ticket #485,2023-08-16,,ITSupport
T-1485,Low,Resolved,Security,Malware Detected,Automatically generated ticket #486,2024-04-20,2024-05-05,ITSupport
T-1486,Medium,On Hold,Access Request,Account Locked,Automatically generated ticket #487,2024-02-27,2024-02-29,ITSupport
T-1487,High,In Progress,Security,Slow Internet,Automatically generated ticket #488,2024-08-15,,Michael
T-1488,High,On Hold,Hardware,Unauthorized Login Attempt,Automatically generated ticket #489,2024-02-20,2024-03-08,David
T-1489,Critical,On Hold,Hardware,VPN Issue,Automatically generated ticket #490,2024-10-17,2024-10-22,Admin
T-1490,Critical,Resolved,Software,Printer Not Responding,Automatically generated ticket #491,2024-08-15,2024-08-17,David
T-1491,Low,On Hold,Email,Printer Not Responding,Automatically generated ticket #492,2023-10-07,,Anna
T-1492,Medium,Open,Security,Email Not Working,Automatically generated ticket #493,2024-08-12,2024-08-25,Admin
T-1493,High,In Progress,Security,Password Reset,Automatically generated ticket #494,2023-05-11,2023-05-14,Admin
T-1494,Low,On Hold,Hardware,Unauthorized Login Attempt,Automatically generated ticket #495,2024-05-26,,SecurityTeam
T-1495,High,Open,Access Request,Printer Not Responding,Automatically generated ticket #496,2023-08-15,2023-09-04,SecurityTeam
T-1496,Medium,In Progress,Access Request,Password Reset,Automatically generated ticket #497,2023-07-11,2023-07-21,David
T-1497,Medium,On Hold,Hardware,Password Reset,Automatically generated ticket #498,2023-02-02,2023-02-12,Admin
T-1498,Medium,Resolved,Access Request,Password Reset,Automatically generated ticket #499,2024-02-06,,Admin
T-1499,High,On Hold,Security,Printer Not Responding,Automatically generated ticket #500,2024-05-31,2024-06-05,Admin
T-1500,High,In Progress,Access Request,System Crash,Automatically generated ticket #501,2023-04-06,2023-04-21,Michael
T-1501,Low,Resolved,Software,Account Locked,Automatically generated ticket #502,2024-08-10,,David
T-1502,Medium,Resolved,Network,Account Locked,Automatically generated ticket #503,2024-07-02,2024-07-06,Sara
T-1503,Low,Resolved,Hardware,Printer Not Responding,Automatically generated ticket #504,2023-07-06,2023-07-11,ITSupport
T-1504,High,Resolved,Email,System Crash,Automatically generated ticket #505,2024-01-12,,Anna
T-1505,Medium,On Hold,Hardware,Slow Internet,Automatically generated ticket #506,2023-09-28,2023-10-16,Sara
T-1506,High,Open,Email,Password Reset,Automatically generated ticket #507,2024-01-04,2024-01-17,David
T-1507,High,On Hold,Security,Software Installation Request,Automatically generated ticket #508,2023-04-08,2023-04-22,ITSupport
T-1508,Medium,On Hold,Access Request,Printer Not Responding,Automatically generated ticket #509,2023-05-23,2023-06-09,David
T-1509,High,On Hold,Hardware,Slow Internet,Automatically generated ticket #510,2024-09-28,2024-10-11,SecurityTeam
T-1510,Critical,On Hold,Access Request,Unauthorized Login Attempt,Automatically generated ticket #511,2024-03-03,2024-03-23,Admin
T-1511,High,In Progress,Security,Malware Detected,Automatically generated ticket #512,2024-04-27,,Admin
T-1512,Critical,In Progress,Email,Password Reset,Automatically generated ticket #513,2024-09-08,2024-09-19,SecurityTeam
T-1513,Critical,Resolved,Network,Unauthorized Login Attempt,Automatically generated ticket #514,2023-09-26,2023-10-02,David
T-1514,Low,In Progress,Hardware,Software Installation Request,Automatically generated ticket #515,2024-08-15,2024-08-24,Sara
T-1515,Low,In Progress,Security,Slow Internet,Automatically generated ticket #516,2023-01-11,2023-01-15,ITSupport
T-1516,Low,Open,Security,Email Not Working,Automatically generated ticket #517,2023-06-01,2023-06-18,SecurityTeam
T-1517,Low,Open,Email,Software Installation Request,Automatically generated ticket #518,2023-05-30,2023-06-04,David
T-1518,Medium,Open,Security,System Crash,Automatically generated ticket #519,2023-12-14,2023-12-25,SecurityTeam
T-1519,Low,Open,Hardware,Slow Internet,Automatically generated ticket #520,2024-08-20,,David
T-1520,Critical,Open,Access Request,System Crash,Automatically generated ticket #521,2024-09-22,,Admin
T-1521,Low,Resolved,Software,Printer Not Responding,Automatically generated ticket #522,2024-03-30,2024-04-04,Michael
T-1522,Critical,In Progress,Software,VPN Issue,Automatically generated ticket #523,2023-04-30,2023-05-16,Michael
T-1523,Medium,Open,Hardware,Slow Internet,Automatically generated ticket #524,2023-09-03,,Admin
T-1524,Critical,Open,Access Request,Software Installation Request,Automatically generated ticket #525,2023-03-01,,Michael
T-1525,Medium,Resolved,Security,Password Reset,Automatically generated ticket #526,2024-10-25,2024-11-01,Sara
T-1526,Critical,On Hold,Email,Software Installation Request,Automatically generated ticket #527,2024-05-08,2024-05-23,Michael
T-1527,Critical,Resolved,Security,System Crash,Automatically generated ticket #528,2023-09-09,2023-09-17,David
